home_team,removed_player,predicted_player,season
NJN,Jamal Crawford,Jamal Crawford,2008
SAC,Jorge Garbajosa,Jorge Garbajosa,2008
ORL,Amar'e Stoudemire,Amar'e Stoudemire,2008
PHI,Steve Blake,Steve Blake,2008
OKC,Willie Green,Willie Green,2008
DET,Kelenna Azubuike,Kelenna Azubuike,2008
DET,Baron Davis,Baron Davis,2008
MEM,Jason Williams,Jason Williams,2008
NYK,Carlos Arroyo,Carlos Arroyo,2008
SAC,Anthony Parker,Anthony Parker,2008
MIL,Corey Brewer,Corey Brewer,2008
PHO,Francisco Garcia,Francisco Garcia,2008
MEM,Daequan Cook,Daequan Cook,2008
MEM,Jason Williams,Jason Williams,2008
ORL,Gordan Giricek,Gordan Giricek,2008
DAL,Eduardo Najera,Eduardo Najera,2008
NJN,Jared Jeffries,Jared Jeffries,2008
CLE,Jason Kidd,Jason Kidd,2008
CHO,Drew Gooden,Drew Gooden,2008
PHI,LaMarcus Aldridge,LaMarcus Aldridge,2008
MIA,Desmond Mason,Desmond Mason,2008
LAL,Pau Gasol,Pau Gasol,2008
LAC,Kobe Bryant,Kobe Bryant,2008
SAS,Carlos Boozer,Carlos Boozer,2008
MIL,Marko Jaric,Marko Jaric,2008
MEM,Kasib Powell,Kasib Powell,2008
IND,Chris Kaman,Chris Kaman,2008
ATL,Josh Smith,Josh Smith,2008
SAS,Andrei Kirilenko,Andrei Kirilenko,2008
PHO,Francisco Garcia,Francisco Garcia,2008
NYK,Keith Bogans,Keith Bogans,2008
LAL,Kyle Lowry,Kyle Lowry,2008
CLE,Jason Terry,Jason Terry,2008
MIA,Michael Redd,Michael Redd,2008
LAL,Juan Carlos Navarro,Juan Carlos Navarro,2008
DEN,Antonio McDyess,Antonio McDyess,2008
SAS,Jason Hart,Jason Hart,2008
BOS,Eddie House,Eddie House,2008
PHI,Martell Webster,Martell Webster,2008
CHO,Devin Brown,Devin Brown,2008
MIL,Randy Foye,Randy Foye,2008
HOU,Mike Dunleavy,Mike Dunleavy,2008
MEM,Joel Anthony,Joel Anthony,2008
MIL,Rashad McCants,Rashad McCants,2008
DET,Monta Ellis,Monta Ellis,2008
MEM,Mark Blount,Mark Blount,2008
CHO,Sasha Pavlovic,Sasha Pavlovic,2008
HOU,Travis Diener,Travis Diener,2008
HOU,Mike Dunleavy,Mike Dunleavy,2008
OKC,Andre Miller,Andre Miller,2008
CHA,Andres Nocioni,Andres Nocioni,2008
DEN,Arron Afflalo,Arron Afflalo,2008
MIL,Michael Doleac,Michael Doleac,2008
DEN,Rasheed Wallace,Rasheed Wallace,2008
SAC,Jason Kapono,Jason Kapono,2008
CHA,Tyrus Thomas,Tyrus Thomas,2008
CHA,Kirk Hinrich,Kirk Hinrich,2008
DAL,Nene Hilario,Nene Hilario,2008
DEN,Antonio McDyess,Antonio McDyess,2008
CHO,Anderson Varejao,Anderson Varejao,2008
PHO,Beno Udrih,Beno Udrih,2008
DAL,Kenyon Martin,Kenyon Martin,2008
POR,Bruce Bowen,Bruce Bowen,2008
DEN,Antonio McDyess,Antonio McDyess,2008
POR,Francisco Elson,Francisco Elson,2008
ORL,Boris Diaw,Boris Diaw,2008
POR,Fabricio Oberto,Fabricio Oberto,2008
DET,Monta Ellis,Monta Ellis,2008
PHI,Steve Blake,Steve Blake,2008
TOR,DeShawn Stevenson,DeShawn Stevenson,2008
TOR,DeShawn Stevenson,DeShawn Stevenson,2008
BOS,Ray Allen,Ray Allen,2008
CHA,Luol Deng,Luol Deng,2008
LAC,Derek Fisher,Derek Fisher,2008
POR,Ime Udoka,Ime Udoka,2008
MIL,Mark Madsen,Mark Madsen,2009
NYK,Courtney Lee,Courtney Lee,2009
CHA,Andres Nocioni,Andres Nocioni,2009
NYK,Hedo Turkoglu,Hedo Turkoglu,2009
POR,Matt Bonner,Matt Bonner,2009
LAC,Josh Powell,Josh Powell,2009
IND,Eric Gordon,Eric Gordon,2009
NJN,Chris Duhon,Chris Duhon,2009
MIL,Kevin Love,Kevin Love,2009
LAL,Greg Buckner,Greg Buckner,2009
CHO,Ben Wallace,Ben Wallace,2009
ORL,Matt Barnes,Matt Barnes,2009
DAL,J.R. Smith,J.R. Smith,2009
IND,Ricky Davis,Ricky Davis,2009
ORL,Raja Bell,Raja Bell,2009
MEM,Daequan Cook,Daequan Cook,2009
NYK,Anthony Johnson,Anthony Johnson,2009
ATL,Josh Smith,Josh Smith,2009
MEM,Dwyane Wade,Dwyane Wade,2009
NYK,Anthony Johnson,Anthony Johnson,2009
NJN,Chris Duhon,Chris Duhon,2009
DAL,Anthony Carter,Anthony Carter,2009
DET,Anthony Morrow,Anthony Morrow,2009
LAC,Jordan Farmar,Jordan Farmar,2009
CHA,Drew Gooden,Drew Gooden,2009
DET,Jamal Crawford,Jamal Crawford,2009
CHA,Ben Gordon,Ben Gordon,2009
HOU,Brandon Rush,Brandon Rush,2009
MEM,Chris Quinn,Chris Quinn,2009
DEN,Amir Johnson,Amir Johnson,2009
SAS,Andrei Kirilenko,Andrei Kirilenko,2009
LAC,Chris Mihm,Chris Mihm,2009
ATL,Acie Law,Acie Law,2009
ATL,Joe Johnson,Joe Johnson,2009
HOU,Rasho Nesterovic,Rasho Nesterovic,2009
DET,Andris Biedrins,Andris Biedrins,2009
CLE,Dirk Nowitzki,Dirk Nowitzki,2009
ATL,Josh Smith,Josh Smith,2009
DET,Corey Maggette,Corey Maggette,2009
LAL,Quinton Ross,Quinton Ross,2009
MEM,Shawn Marion,Shawn Marion,2009
SAS,Matt Harpring,Matt Harpring,2009
BOS,Ray Allen,Ray Allen,2009
CLE,Josh Howard,Josh Howard,2009
SAS,Ronnie Price,Ronnie Price,2009
ATL,Ronald Murray,Ronald Murray,2009
CHA,Thabo Sefolosha,Thabo Sefolosha,2009
SAS,Ronnie Brewer,Ronnie Brewer,2009
NOP,Russell Westbrook,Russell Westbrook,2009
NOP,Nick Collison,Nick Collison,2009
IND,Steve Novak,Steve Novak,2009
SAC,Roko Ukic,Roko Ukic,2009
BOS,Tony Allen,Tony Allen,2009
PHO,Mikki Moore,Mikki Moore,2009
NYK,Rashard Lewis,Rashard Lewis,2009
LAC,Luke Walton,Luke Walton,2009
TOR,Dominic McGuire,Dominic McGuire,2009
DEN,Rodney Stuckey,Rodney Stuckey,2009
NYK,Mickael Pietrus,Mickael Pietrus,2009
CHO,Mo Williams,Mo Williams,2009
DAL,Linas Kleiza,Linas Kleiza,2009
MEM,Udonis Haslem,Udonis Haslem,2009
ATL,Ronald Murray,Ronald Murray,2009
HOU,T.J. Ford,T.J. Ford,2009
ORL,Shaquille O'Neal,Shaquille O'Neal,2009
DET,Ronny Turiaf,Ronny Turiaf,2009
OKC,Thaddeus Young,Thaddeus Young,2009
SAC,Jason Kapono,Jason Kapono,2009
GSW,Von Wafer,Von Wafer,2009
PHI,Travis Outlaw,Travis Outlaw,2009
PHI,Travis Outlaw,Travis Outlaw,2009
ATL,Maurice Evans,Maurice Evans,2009
CLE,James Singleton,James Singleton,2009
CHA,Joakim Noah,Joakim Noah,2009
SAC,Jake Voskuhl,Jake Voskuhl,2009
MIA,Luke Ridnour,Luke Ridnour,2009
CLE,Jason Kidd,Jason Kidd,2009
MEM,Joel Anthony,Joel Anthony,2009
CLE,Dirk Nowitzki,Dirk Nowitzki,2009
MIA,Michael Redd,Michael Redd,2009
DAL,Dahntay Jones,Dahntay Jones,2009
POR,Roger Mason,Roger Mason,2009
HOU,Mike Dunleavy,Mike Dunleavy,2009
ORL,Raja Bell,Raja Bell,2009
LAL,Marc Gasol,Marc Gasol,2009
TOR,Dominic McGuire,Dominic McGuire,2009
MIL,Randy Foye,Randy Foye,2009
DEN,Arron Afflalo,Arron Afflalo,2009
OKC,Royal Ivey,Royal Ivey,2009
CHO,Zydrunas Ilgauskas,Zydrunas Ilgauskas,2009
PHO,John Salmons,John Salmons,2009
CHA,Luol Deng,Luol Deng,2009
DAL,Nene Hilario,Nene Hilario,2009
NYK,Hedo Turkoglu,Hedo Turkoglu,2009
POR,Matt Bonner,Matt Bonner,2009
OKC,Elton Brand,Elton Brand,2009
CLE,Erick Dampier,Erick Dampier,2009
MIL,Rodney Carney,Rodney Carney,2009
MIA,Keith Bogans,Keith Bogans,2009
NOP,Nick Collison,Nick Collison,2009
MIA,John Salmons,John Salmons,2010
OKC,Samuel Dalembert,Samuel Dalembert,2010
DAL,Nene Hilario,Nene Hilario,2010
GSW,Shane Battier,Shane Battier,2010
MIL,Jonny Flynn,Jonny Flynn,2010
OKC,Thaddeus Young,Thaddeus Young,2010
IND,Eric Gordon,Eric Gordon,2010
ATL,Maurice Evans,Maurice Evans,2010
IND,Ricky Davis,Ricky Davis,2010
DET,Ronny Turiaf,Ronny Turiaf,2010
DAL,Nene Hilario,Nene Hilario,2010
SAS,Deron Williams,Deron Williams,2010
POR,Roger Mason,Roger Mason,2010
PHI,Martell Webster,Martell Webster,2010
CHA,Jannero Pargo,Jannero Pargo,2010
SAC,Chris Bosh,Chris Bosh,2010
IND,Marcus Camby,Marcus Camby,2010
DEN,Jason Maxiell,Jason Maxiell,2010
MEM,Mario Chalmers,Mario Chalmers,2010
HOU,Earl Watson,Earl Watson,2010
ORL,Lou Amundson,Lou Amundson,2010
CLE,Jason Terry,Jason Terry,2010
HOU,Mike Dunleavy,Mike Dunleavy,2010
DAL,J.R. Smith,J.R. Smith,2010
IND,Eric Gordon,Eric Gordon,2010
ATL,Marvin Williams,Marvin Williams,2010
CHA,Jannero Pargo,Jannero Pargo,2010
TOR,Caron Butler,Caron Butler,2010
PHO,Omri Casspi,Omri Casspi,2010
SAC,Antoine Wright,Antoine Wright,2010
ORL,Jason Richardson,Jason Richardson,2010
DAL,J.R. Smith,J.R. Smith,2010
BOS,Nate Robinson,Nate Robinson,2010
MIA,Ersan Ilyasova,Ersan Ilyasova,2010
HOU,Josh McRoberts,Josh McRoberts,2010
IND,Eric Gordon,Eric Gordon,2010
PHO,Sergio Rodriguez,Sergio Rodriguez,2010
LAL,Hamed Haddadi,Hamed Haddadi,2010
MIA,Andrew Bogut,Andrew Bogut,2010
NOP,Kevin Durant,Kevin Durant,2010
NOP,Etan Thomas,Etan Thomas,2010
NYK,Jameer Nelson,Jameer Nelson,2010
CHA,Derrick Rose,Derrick Rose,2010
POR,Keith Bogans,Keith Bogans,2010
NOP,Nick Collison,Nick Collison,2010
DAL,Chris Andersen,Chris Andersen,2010
CHO,J.J. Hickson,J.J. Hickson,2010
MIL,Oleksiy Pecherov,Oleksiy Pecherov,2010
NOP,Jeff Green,Jeff Green,2010
NOP,Kevin Durant,Kevin Durant,2010
ORL,Goran Dragic,Goran Dragic,2010
ORL,Steve Nash,Steve Nash,2010
SAS,Wesley Matthews,Wesley Matthews,2010
GSW,Trevor Ariza,Trevor Ariza,2010
LAL,Zach Randolph,Zach Randolph,2010
IND,Steve Blake,Steve Blake,2010
OKC,Willie Green,Willie Green,2010
CHO,Zydrunas Ilgauskas,Zydrunas Ilgauskas,2010
PHO,Sergio Rodriguez,Sergio Rodriguez,2010
HOU,Troy Murphy,Troy Murphy,2010
LAL,Zach Randolph,Zach Randolph,2010
LAC,Kobe Bryant,Kobe Bryant,2010
LAL,Jamaal Tinsley,Jamaal Tinsley,2010
OKC,Elton Brand,Elton Brand,2010
SAC,Antoine Wright,Antoine Wright,2010
DET,Monta Ellis,Monta Ellis,2010
LAC,Metta World Peace,Metta World Peace,2010
BOS,Eddie House,Eddie House,2010
SAS,C.J. Miles,C.J. Miles,2010
NYK,J.J. Redick,J.J. Redick,2010
ATL,Al Horford,Al Horford,2010
LAL,Zach Randolph,Zach Randolph,2010
SAC,Amir Johnson,Amir Johnson,2010
OKC,Andre Iguodala,Andre Iguodala,2010
SAS,Andrei Kirilenko,Andrei Kirilenko,2010
MIL,Al Jefferson,Al Jefferson,2010
PHO,Andres Nocioni,Andres Nocioni,2010
NOP,Jeff Green,Jeff Green,2010
SAS,Deron Williams,Deron Williams,2010
MIL,Corey Brewer,Corey Brewer,2010
PHO,Andres Nocioni,Andres Nocioni,2010
CLE,Drew Gooden,Drew Gooden,2010
GSW,Aaron Brooks,Aaron Brooks,2010
ATL,Jason Collins,Jason Collins,2010
BOS,Kevin Garnett,Kevin Garnett,2010
GSW,David Andersen,David Andersen,2010
MIA,Brandon Jennings,Brandon Jennings,2010
ORL,Channing Frye,Channing Frye,2010
NJN,Wilson Chandler,Wilson Chandler,2010
DEN,Will Bynum,Will Bynum,2010
DAL,Ty Lawson,Ty Lawson,2010
NJN,Toney Douglas,Toney Douglas,2010
HOU,Troy Murphy,Troy Murphy,2010
NYK,Ryan Anderson,Ryan Anderson,2010
NJN,Wilson Chandler,Wilson Chandler,2010
LAC,Shannon Brown,Shannon Brown,2010
DAL,Nene Hilario,Nene Hilario,2010
DAL,Nene Hilario,Nene Hilario,2010
PHI,Martell Webster,Martell Webster,2010
MIL,Wayne Ellington,Wayne Ellington,2010
TOR,Gilbert Arenas,Gilbert Arenas,2011
NJN,Wilson Chandler,Wilson Chandler,2011
NOP,Serge Ibaka,Serge Ibaka,2011
ATL,Zaza Pachulia,Zaza Pachulia,2011
SAC,Sonny Weems,Sonny Weems,2011
DEN,Will Bynum,Will Bynum,2011
SAC,Sonny Weems,Sonny Weems,2011
ATL,Zaza Pachulia,Zaza Pachulia,2011
NOP,Serge Ibaka,Serge Ibaka,2011
NOP,Eric Maynor,Eric Maynor,2011
GSW,Chase Budinger,Chase Budinger,2011
DAL,Al Harrington,Al Harrington,2011
NOP,Jeff Green,Jeff Green,2011
MEM,Eddie House,Eddie House,2011
SAS,Andrei Kirilenko,Andrei Kirilenko,2011
LAC,Derek Fisher,Derek Fisher,2011
GSW,Aaron Brooks,Aaron Brooks,2011
POR,Antonio McDyess,Antonio McDyess,2011
SAS,Andrei Kirilenko,Andrei Kirilenko,2011
LAL,Darrell Arthur,Darrell Arthur,2011
DEN,Chris Wilcox,Chris Wilcox,2011
SAS,Al Jefferson,Al Jefferson,2011
LAL,Tony Allen,Tony Allen,2011
MIA,Luc Mbah a Moute,Luc Mbah a Moute,2011
NOP,Serge Ibaka,Serge Ibaka,2011
CHA,Luol Deng,Luol Deng,2011
PHI,Marcus Camby,Marcus Camby,2011
CHO,Christian Eyenga,Christian Eyenga,2011
DAL,Chris Andersen,Chris Andersen,2011
MEM,Mike Bibby,Mike Bibby,2011
SAC,DeMar DeRozan,DeMar DeRozan,2011
LAL,Sam Young,Sam Young,2011
LAC,Kobe Bryant,Kobe Bryant,2011
NOP,Kevin Durant,Kevin Durant,2011
LAC,Matt Barnes,Matt Barnes,2011
DET,Monta Ellis,Monta Ellis,2011
SAS,Earl Watson,Earl Watson,2011
MIL,Kevin Love,Kevin Love,2011
GSW,Kevin Martin,Kevin Martin,2011
HOU,Josh McRoberts,Josh McRoberts,2011
MIA,Corey Maggette,Corey Maggette,2011
POR,Richard Jefferson,Richard Jefferson,2011
POR,Richard Jefferson,Richard Jefferson,2011
BOS,Shaquille O'Neal,Shaquille O'Neal,2011
BOS,Paul Pierce,Paul Pierce,2011
NOP,Serge Ibaka,Serge Ibaka,2011
LAL,Zach Randolph,Zach Randolph,2011
ORL,Josh Childress,Josh Childress,2011
HOU,A.J. Price,A.J. Price,2011
PHI,Andre Miller,Andre Miller,2011
DET,Dorell Wright,Dorell Wright,2011
CHO,Daniel Gibson,Daniel Gibson,2011
MIL,Darko Milicic,Darko Milicic,2011
LAL,Mike Conley,Mike Conley,2011
DAL,Carmelo Anthony,Carmelo Anthony,2011
TOR,JaVale McGee,JaVale McGee,2011
LAL,Tony Allen,Tony Allen,2011
CHO,Manny Harris,Manny Harris,2011
NOP,Russell Westbrook,Russell Westbrook,2011
CLE,Jason Kidd,Jason Kidd,2011
DAL,Kenyon Martin,Kenyon Martin,2011
NJN,Landry Fields,Landry Fields,2011
NJN,Toney Douglas,Toney Douglas,2011
CHA,Omer Asik,Omer Asik,2011
MIL,Luke Ridnour,Luke Ridnour,2011
MIL,Darko Milicic,Darko Milicic,2011
POR,Tim Duncan,Tim Duncan,2011
NJN,Shawne Williams,Shawne Williams,2011
NJN,Toney Douglas,Toney Douglas,2011
NYK,Rashard Lewis,Rashard Lewis,2011
CHA,Kurt Thomas,Kurt Thomas,2011
SAS,Earl Watson,Earl Watson,2011
SAC,Jerryd Bayless,Jerryd Bayless,2011
DAL,Nene Hilario,Nene Hilario,2011
ATL,Jamal Crawford,Jamal Crawford,2011
CHO,Antawn Jamison,Antawn Jamison,2011
CLE,Ian Mahinmi,Ian Mahinmi,2011
MIA,Brandon Jennings,Brandon Jennings,2011
OKC,Andres Nocioni,Andres Nocioni,2011
CLE,DeShawn Stevenson,DeShawn Stevenson,2011
MIL,Corey Brewer,Corey Brewer,2011
NYK,Chris Duhon,Chris Duhon,2011
NOP,James Harden,James Harden,2011
MIL,Lazar Hayward,Lazar Hayward,2011
TOR,John Wall,John Wall,2011
DAL,Chris Andersen,Chris Andersen,2011
HOU,Danny Granger,Danny Granger,2011
NJN,Danilo Gallinari,Danilo Gallinari,2011
HOU,Danny Granger,Danny Granger,2011
NYK,Earl Clark,Earl Clark,2011
DET,Brandan Wright,Brandan Wright,2011
NYK,J.J. Redick,J.J. Redick,2011
OKC,Evan Turner,Evan Turner,2011
DET,Dorell Wright,Dorell Wright,2011
SAC,DeMar DeRozan,DeMar DeRozan,2011
DEN,Richard Hamilton,Richard Hamilton,2011
HOU,Dahntay Jones,Dahntay Jones,2011
LAC,Derek Fisher,Derek Fisher,2011
PHI,Dante Cunningham,Dante Cunningham,2011
DAL,J.R. Smith,J.R. Smith,2011
PHO,Tyreke Evans,Tyreke Evans,2012
CHA,Richard Hamilton,Richard Hamilton,2012
OKC,Thaddeus Young,Thaddeus Young,2012
NOP,Serge Ibaka,Serge Ibaka,2012
TOR,Shelvin Mack,Shelvin Mack,2012
TOR,Shelvin Mack,Shelvin Mack,2012
PHI,Nolan Smith,Nolan Smith,2012
LAC,Ramon Sessions,Ramon Sessions,2012
ORL,Marcin Gortat,Marcin Gortat,2012
ORL,Marcin Gortat,Marcin Gortat,2012
SAC,Jerryd Bayless,Jerryd Bayless,2012
IND,Kenyon Martin,Kenyon Martin,2012
POR,Matt Bonner,Matt Bonner,2012
IND,Randy Foye,Randy Foye,2012
PHI,Raymond Felton,Raymond Felton,2012
LAL,Quincy Pondexter,Quincy Pondexter,2012
SAC,James Johnson,James Johnson,2012
HOU,Roy Hibbert,Roy Hibbert,2012
GSW,Patrick Patterson,Patrick Patterson,2012
MEM,Shane Battier,Shane Battier,2012
NJN,Tyson Chandler,Tyson Chandler,2012
DEN,Rodney Stuckey,Rodney Stuckey,2012
NOP,Nazr Mohammed,Nazr Mohammed,2012
DET,Kwame Brown,Kwame Brown,2012
PHO,Marcus Thornton,Marcus Thornton,2012
CHO,Kyrie Irving,Kyrie Irving,2012
MEM,Norris Cole,Norris Cole,2012
OKC,Lavoy Allen,Lavoy Allen,2012
HOU,Paul George,Paul George,2012
CLE,Lamar Odom,Lamar Odom,2012
NJN,Steve Novak,Steve Novak,2012
SAC,Justin Dentmon,Justin Dentmon,2012
SAS,Paul Millsap,Paul Millsap,2012
MIL,Nikola Pekovic,Nikola Pekovic,2012
OKC,Thaddeus Young,Thaddeus Young,2012
CLE,Vince Carter,Vince Carter,2012
CHO,Semih Erden,Semih Erden,2012
OKC,Nikola Vucevic,Nikola Vucevic,2012
MIA,Jon Leuer,Jon Leuer,2012
NJN,Mike Bibby,Mike Bibby,2012
HOU,David West,David West,2012
NOP,James Harden,James Harden,2012
ATL,Jeff Teague,Jeff Teague,2012
NOP,James Harden,James Harden,2012
PHO,Chuck Hayes,Chuck Hayes,2012
CHA,Carlos Boozer,Carlos Boozer,2012
MEM,Chris Bosh,Chris Bosh,2012
POR,DeJuan Blair,DeJuan Blair,2012
DET,Andris Biedrins,Andris Biedrins,2012
NOP,James Harden,James Harden,2012
MEM,Chris Bosh,Chris Bosh,2012
IND,Blake Griffin,Blake Griffin,2012
NJN,Baron Davis,Baron Davis,2012
NJN,Carmelo Anthony,Carmelo Anthony,2012
CHA,Derrick Rose,Derrick Rose,2012
DET,Brandon Rush,Brandon Rush,2012
DET,David Lee,David Lee,2012
HOU,Danny Granger,Danny Granger,2012
NYK,Chris Duhon,Chris Duhon,2012
SAC,Andrea Bargnani,Andrea Bargnani,2012
ORL,Jared Dudley,Jared Dudley,2012
SAC,Andrea Bargnani,Andrea Bargnani,2012
SAS,Devin Harris,Devin Harris,2012
ATL,Josh Smith,Josh Smith,2012
NJN,Amar'e Stoudemire,Amar'e Stoudemire,2012
DAL,Andre Miller,Andre Miller,2012
BOS,Brandon Bass,Brandon Bass,2012
TOR,Cartier Martin,Cartier Martin,2012
TOR,JaVale McGee,JaVale McGee,2012
ORL,Jared Dudley,Jared Dudley,2012
NJN,J.R. Smith,J.R. Smith,2012
MEM,Joel Anthony,Joel Anthony,2012
CHO,Anthony Parker,Anthony Parker,2012
ATL,Jerry Stackhouse,Jerry Stackhouse,2012
DET,Ish Smith,Ish Smith,2012
HOU,Lance Stephenson,Lance Stephenson,2012
BOS,Paul Pierce,Paul Pierce,2012
CHO,Anthony Parker,Anthony Parker,2012
CHA,Joakim Noah,Joakim Noah,2012
OKC,Lavoy Allen,Lavoy Allen,2012
MIA,Brandon Jennings,Brandon Jennings,2012
NJN,Jared Jeffries,Jared Jeffries,2012
MIA,Drew Gooden,Drew Gooden,2012
SAC,Andrea Bargnani,Andrea Bargnani,2012
IND,Brian Cook,Brian Cook,2012
SAC,Amir Johnson,Amir Johnson,2012
SAC,Ed Davis,Ed Davis,2012
LAL,Hamed Haddadi,Hamed Haddadi,2012
NOP,James Harden,James Harden,2012
IND,Eric Bledsoe,Eric Bledsoe,2012
ORL,Jared Dudley,Jared Dudley,2012
CHA,Derrick Rose,Derrick Rose,2012
